CLIENT_CODE,FILE_NBR,SUBMISSION_NUMBER,LINE_NUMBER,AMOUNT
23,100001,1.00001070120181e+35,1,1740687373
23,100254,1.00254010120191e+35,5,284725159
23,100254,1.00254010120191e+35,6,910067
23,100254,1.00254010120191e+35,7,285635226
23,100254,1.00254010120191e+35,8,44742484
23,100254,1.00254010120191e+35,9,69688004
23,100254,1.00254010120191e+35,10,12128769
23,100254,1.00254010120191e+35,11,91799531
23,100254,1.00254010120191e+35,12,218358788
23,100254,1.00254010120191e+35,13,67276438
23,100254,1.00254010120191e+35,14,16999642
23,100254,1.00254010120191e+35,15,4012778
23,100254,1.00254010120191e+35,16,12986864
23,100254,1.00254010120191e+35,17,80263302
23,100254,1.00254010120191e+35,18,-20387792
23,100254,1.00254010120191e+35,19,
23,100254,1.00254010120191e+35,21,
23,100254,1.00254010120191e+35,24,0
23,100254,1.00254010120191e+35,25,59875510
23,100256,1.00256010120191e+35,1,2242932404
23,100256,1.00256010120191e+35,2,896361868
23,100256,1.00256010120191e+35,3,3139294272
23,100256,1.00256010120191e+35,4,2870487422
23,100256,1.00256010120191e+35,5,268806850
23,100256,1.00256010120191e+35,6,23532828
23,100256,1.00256010120191e+35,7,292339678
23,100256,1.00256010120191e+35,8,53482453
23,100256,1.00256010120191e+35,9,89360600
23,100256,1.00256010120191e+35,10,21480488
23,100256,1.00256010120191e+35,11,86079339
23,100256,1.00256010120191e+35,12,250402880
23,100256,1.00256010120191e+35,13,41936798
23,100256,1.00256010120191e+35,14,45882716
23,100256,1.00256010120191e+35,15,803839
23,100256,1.00256010120191e+35,16,45078877
23,100256,1.00256010120191e+35,17,87015675
23,100256,1.00256010120191e+35,18,-22048824
23,100256,1.00256010120191e+35,19,
23,100256,1.00256010120191e+35,21,
23,100256,1.00256010120191e+35,24,0
23,100256,1.00256010120191e+35,25,64966851
23,100258,1.00258010120191e+35,1,2708543632
23,100258,1.00258010120191e+35,2,988128487
23,100258,1.00258010120191e+35,3,3696672119
23,100258,1.00258010120191e+35,4,3293444500
23,100258,1.00258010120191e+35,5,403227619
23,100258,1.00258010120191e+35,6,7185663
23,100258,1.00258010120191e+35,7,410413282
23,100258,1.00258010120191e+35,8,84208790
